ts,rain,wind_speed,et0,solar_radiation
2023-07-06 01:00:00,0.0,8.6,0.02,0.0
2023-07-06 02:00:00,0.0,4.0,0.0,0.0
2023-07-06 03:00:00,0.0,10.7,0.0,0.0
2023-07-06 04:00:00,0.0,8.2,0.02,1.0
2023-07-06 05:00:00,0.0,6.9,0.03,39.0
2023-07-06 06:00:00,0.1,9.0,0.07,108.0
2023-07-06 07:00:00,0.0,3.9,0.09,131.0
2023-07-06 08:00:00,0.0,7.3,0.21,323.0
2023-07-06 09:00:00,0.0,9.4,0.32,480.0
2023-07-06 10:00:00,0.1,5.3,0.25,352.0
2023-07-06 11:00:00,0.2,4.4,0.39,564.0
2023-07-06 12:00:00,0.4,7.6,0.31,440.0
2023-07-06 13:00:00,0.1,8.3,0.43,640.0
2023-07-06 14:00:00,0.1,9.1,0.37,523.0
2023-07-06 15:00:00,0.1,8.0,0.26,341.0
2023-07-06 16:00:00,0.3,6.7,0.21,270.0
2023-07-06 17:00:00,0.0,5.6,0.18,248.0
2023-07-06 18:00:00,0.0,6.8,0.1,126.0
2023-07-06 19:00:00,0.0,5.5,0.03,32.0
2023-07-06 20:00:00,0.0,3.4,0.02,0.0
2023-07-06 21:00:00,0.0,1.4,0.0,0.0
2023-07-06 22:00:00,0.0,2.5,0.0,0.0
2023-07-06 23:00:00,0.0,0.8,0.0,0.0
2023-07-07 00:00:00,0.0,6.2,0.0,0.0
2023-07-07 01:00:00,0.0,4.0,0.0,0.0
2023-07-07 02:00:00,0.0,4.7,0.0,0.0
2023-07-07 03:00:00,0.0,4.6,0.0,0.0
2023-07-07 04:00:00,0.0,5.7,0.0,1.0
2023-07-07 05:00:00,0.0,5.9,0.03,57.0
2023-07-07 06:00:00,0.0,1.6,0.11,192.0
2023-07-07 07:00:00,0.0,2.9,0.23,366.0
2023-07-07 08:00:00,0.0,5.4,0.34,532.0
2023-07-07 09:00:00,0.0,7.9,0.46,678.0
2023-07-07 10:00:00,0.0,8.4,0.55,789.0
2023-07-07 11:00:00,0.0,8.8,0.62,863.0
2023-07-07 12:00:00,0.0,8.1,0.63,878.0
2023-07-07 13:00:00,0.0,8.3,0.61,835.0
2023-07-07 14:00:00,0.0,10.4,0.57,747.0
2023-07-07 15:00:00,0.0,12.2,0.5,634.0
2023-07-07 16:00:00,0.0,13.1,0.4,467.0
2023-07-07 17:00:00,0.0,13.0,0.3,320.0
2023-07-07 18:00:00,0.0,8.4,0.15,159.0
2023-07-07 19:00:00,0.0,8.4,0.08,36.0
2023-07-07 20:00:00,0.0,9.0,0.08,0.0
2023-07-07 21:00:00,0.0,9.2,0.05,0.0
2023-07-07 22:00:00,0.0,7.9,0.03,0.0
2023-07-07 23:00:00,0.0,8.0,0.02,0.0
2023-07-08 00:00:00,0.0,6.5,0.01,0.0
2023-07-08 01:00:00,0.0,5.9,0.0,0.0
2023-07-08 02:00:00,0.0,7.0,0.0,0.0
2023-07-08 03:00:00,0.0,6.9,0.0,0.0
2023-07-08 04:00:00,0.0,5.2,0.01,1.0
2023-07-08 05:00:00,0.0,8.7,0.04,59.0
2023-07-08 06:00:00,0.0,3.2,0.09,152.0
2023-07-08 07:00:00,0.0,3.7,0.08,93.0
2023-07-08 08:00:00,0.0,7.1,0.26,376.0
2023-07-08 09:00:00,0.0,6.0,0.45,648.0
2023-07-08 10:00:00,0.0,7.4,0.56,784.0
2023-07-08 11:00:00,0.0,5.4,0.62,850.0
2023-07-08 12:00:00,0.0,9.1,0.65,860.0
2023-07-08 13:00:00,0.0,6.3,0.63,837.0
2023-07-08 14:00:00,0.0,5.1,0.55,731.0
2023-07-08 15:00:00,0.0,4.8,0.47,614.0
2023-07-08 16:00:00,0.0,5.8,0.37,463.0
2023-07-08 17:00:00,0.0,4.7,0.25,312.0
2023-07-08 18:00:00,0.0,3.4,0.12,157.0
2023-07-08 19:00:00,0.0,7.0,0.06,38.0
2023-07-08 20:00:00,0.0,8.2,0.07,0.0
2023-07-08 21:00:00,0.0,6.6,0.04,0.0
2023-07-08 22:00:00,0.0,1.5,0.0,0.0
2023-07-08 23:00:00,0.0,3.8,0.01,0.0
2023-07-09 00:00:00,0.0,6.5,0.01,0.0
2023-07-09 01:00:00,0.0,4.7,0.0,0.0
2023-07-09 02:00:00,0.0,3.6,0.0,0.0
2023-07-09 03:00:00,0.0,4.5,0.0,0.0
2023-07-09 04:00:00,0.0,4.3,0.01,1.0
2023-07-09 05:00:00,0.0,6.1,0.04,59.0
2023-07-09 06:00:00,0.0,3.3,0.12,195.0
2023-07-09 07:00:00,0.0,4.0,0.24,361.0
2023-07-09 08:00:00,0.0,5.2,0.37,527.0
2023-07-09 09:00:00,0.0,5.8,0.49,674.0
